gene_symbol_A	hprd_id_A	protein_accession_A	gene_symbol_B	hrpd_id_B	protein_accession_B
ATP5J2	16520	NP_004880.1	ARL8B	12483	NP_060654.1
C14orf119	16595	NP_060394.1	LRRCC1	11160	NP_208325.3
CRCT1	16635	NP_061933.1	IGSF21	11309	NP_116269.2
CRCT1	16635	NP_061933.1	KIAA1377	17212	NP_065853.2
CRCT1	16635	NP_061933.1	C1orf103	17975	NP_060842.3
CKAP4	16717	NP_006816.2	ASCC2	16515	NP_115580.2
HIGD1B	16724	NP_057522.1	GRINL1A	7575	NP_056347.1
COPS6	16735	NP_006824.2	MYCBP	8406	NP_036465.2
COPS6	16735	NP_006824.2	ORAI2	9860	NP_116220.1
RPS3A	1606	NP_000997.1	DDIT3	529	NP_004074.2
COPS6	16735	NP_006824.2	CCDC106	9995	NP_037433.2
COPS6	16735	NP_006824.2	STK40	11359	NP_114406.1
COPS6	16735	NP_006824.2	C4orf17	12825	NP_115525.1
COPS6	16735	NP_006824.2	DIS3L2	14619	NP_689596.4
COPS6	16735	NP_006824.2	WIPI2	15679	NP_056425.1
COPS6	16735	NP_006824.2	C1orf174	17353	NP_997239.2
COPS6	16735	NP_006824.2	QTRT1	17943	NP_112486.1
DEXI	16798	NP_054734.2	GOLM1	8428	NP_057632.2
DLGAP4	16826	NP_055717.2	PPP1R1B	5097	NP_115568.2
FSD1	17021	NP_077309.1	PPP1R16A	16454	NP_116291.1
ALOX5	1065	NP_000689.1	ACTB	32	NP_001092.1
CEBPB	1801	NP_005185.2	DDIT3	529	NP_004074.2
IFIT5	17130	NP_036552.1	TMEM66	8651	NP_057211.4
KIAA1377	17212	NP_065853.2	GRINL1A	7575	NP_056347.1
KIAA1377	17212	NP_065853.2	MRPS6	11374	NP_115865.1
KIAA1377	17212	NP_065853.2	NAP1L5	17626	NP_715638.1
KIDINS220	17235	NP_065789.1	CDC73	9581	NP_078805.3
C8orf30A	17423	NP_057542.2	APOM	6068	NP_061974.2
C8orf30A	17423	NP_057542.2	C17orf61	17548	NP_689979.1
C8orf30A	17423	NP_057542.2	TRIT1	18226	NP_060116.2
LUC7L2	17456	NP_057103.2	NKAP	6666	NP_078804.2
LUC7L2	17456	NP_057103.2	PTCD3	8631	NP_060422.4
MAPK14	2619	NP_001306.1	DDIT3	529	NP_004074.2
LUC7L2	17456	NP_057103.2	HDHD2	13640	NP_115500.1
LUC7L2	17456	NP_057103.2	NDUFA4L2	14249	NP_064527.1
LUC7L2	17456	NP_057103.2	MAP1LC3B	14358	NP_073729.1
LUC7L2	17456	NP_057103.2	FAM173A	14500	NP_076422.1
LUC7L2	17456	NP_057103.2	ZCCHC10	15699	NP_060135.1
LUC7L2	17456	NP_057103.2	C14orf139	16606	NP_078909.1
LUC7L2	17456	NP_057103.2	LUC7L2	17456	NP_057103.2
LUC7L2	17456	NP_057103.2	NAP1L5	17626	NP_715638.1
MRPS9	17602	NP_872578.1	RBM4B	15230	NP_113680.1
MYL6	17618	NP_524149.1	MOBKL3	10165	NP_056202.2
PICALM	4320	NP_009097.2	DDIT3	529	NP_004074.2
PBK	17822	NP_060962.2	KIAA1377	17212	NP_065853.2
PDE10A	17828	NP_001124162.1	WDR3	16066	NP_006775.1
PGS1	17841	NP_077733.3	GABARAP	5496	NP_009209.1
PHPT1	17849	NP_054891.2	PPP1R16A	16454	NP_116291.1
PIPOX	17853	NP_057602.2	ODF2L	11134	NP_001007023.1
PISD	17854	NP_055153.1	DHX29	10882	NP_061903.2
PISD	17854	NP_055153.1	DAGLB	17324	NP_631918.3
POLDIP2	17874	NP_056399.1	ASCC2	16515	NP_115580.2
UQCRQ	17941	NP_055217.2	GRINL1A	7575	NP_056347.1
C1orf103	17975	NP_060842.3	PLEKHA4	9683	NP_065955.2
ATF3	4395	NP_001665.1	DDIT3	529	NP_004074.2
C1orf103	17975	NP_060842.3	WDR62	10721	NP_001077430.1
C1orf103	17975	NP_060842.3	MRPS6	11374	NP_115865.1
C1orf103	17975	NP_060842.3	BOC	12280	AAQ88694.1
RPL37A	17997	NP_000989.1	C1orf103	17975	NP_060842.3
RPP14	18001	NP_008973.1	IGSF21	11309	NP_116269.2
RSRC1	18006	NP_057709.2	ACTR3B	12489	NP_065178.1
PUF60	18051	NP_510965.1	PPP1R16A	16454	NP_116291.1
SRCAP	18103	NP_006653.2	ATG9A	7979	NP_076990.4
SRPRB	18105	NP_067026.2	CDK5RAP3	12190	NP_788276.1
STRN4	18125	NP_001034966.1	CXorf26	6659	NP_057584.2
ERCC2	530	NP_000391.1	ERCC2	530	NP_000391.1
STRN4	18125	NP_001034966.1	-	7755	NP_079164.1
STRN4	18125	NP_001034966.1	C11orf61	8024	NP_078907.2
STRN4	18125	NP_001034966.1	MTG1	11602	NP_612393.2
STRN4	18125	NP_001034966.1	ECSIT	12225	NP_057665.2
TNRC4	18210	NP_009116.3	SOBP	7650	NP_060483.3
UCK1	18256	NP_113620.1	UCK1	18256	NP_113620.1
WDR18	18296	NP_077005.2	C4orf14	12823	NP_115689.1
DCTPP1	18310	NP_077001.1	C4orf14	12823	NP_115689.1
ZNF410	18339	NP_067011.1	GRINL1A	7575	NP_056347.1
KIF5C	18371	NP_004513.1	SNAPIN	6111	NP_036569.1
ERCC3	593	NP_000113.1	ERCC2	530	NP_000391.1
SRA1	18716	NP_001030312.2	UBE2Z	8589	NP_075567.2
SIRT1	8381	NP_036370.2	RELA	1241	NP_068810.3
EIF2AK1	10684	NP_055228.2	EIF2S1	4881	NP_004085.1
PRKACA	3382	NP_002721.1	ATF1	440	NP_005162.1
PRKCI	2105	NP_002731.4	ANXA1	1060	NP_000691.1
DBH	1963	NP_000778.3	C2orf7	12815	NP_115695.1
GSK3B	5418	NP_002084.2	CEBPA	296	NP_004355.2
CSNK2A1	277	NP_001886.1	HES6	11021	NP_061115.2
CSNK2A1	277	NP_001886.1	AIP	10408	NP_003968.2
ERCC5	595	NP_000114.2	ERCC2	530	NP_000391.1
PRKCD	1501	NP_006245.2	YWHAZ	3183	NP_003397.1
MMP11	1705	NP_005931.2	SERPINA1	2463	NP_000286.3
STK11	3740	NP_000446.1	PRKAA2	2735	NP_006243.2
SERPINF2	2029	NP_000925.2	SERPINF2	2029	NP_000925.2
PPP2CA	8912	NP_002706.1	SCN2A1	1670	AAA18895.1
CDC42BPA	4562	NP_003598.2	PPP1R12C	11452	NP_060077.1
CSNK2A1	277	NP_001886.1	C1R	1954	NP_001724.3
CSNK2A1	277	NP_001886.1	GAP43	1198	NP_001123536.1
PLK1	3652	NP_005021.2	NINL	11120	NP_079452.3
CSK	496	NP_004374.1	MAPK15	16867	NP_620590.2
GTF2H1	1807	NP_005307.1	ERCC2	530	NP_000391.1
ADAMTS4	4853	NP_005090.3	ACAN	1123	NP_037359.3
P4HB	7181	NP_000909.2	EIF2S1	4881	NP_004085.1
CSNK2A1	277	NP_001886.1	FKBP4	11794	NP_002005.1
MAPK14	2619	NP_001306.1	PLA2G4A	8986	NP_077734.1
CTRB1	345	NP_001897.4	LYPD3	10783	NP_055215.2
PALB2	7966	NP_078951.2	BRCA2	2554	NP_000050.2
MS4A1	204	NP_690605.1	LCK	1080	NP_005347.3
MS4A1	204	NP_690605.1	LYN	1301	NP_002341.1
COIL	2605	NP_004636.1	NUDT18	7992	NP_079091.3
ADAM12	4092	NP_003465.3	FSTL3	5632	NP_005851.1
AP4M1	3803	NP_004713.2	GRID2	6781	NP_001501.2
AP4M1	3803	NP_004713.2	CACNG3	5910	NP_006530.1
INS	1455	NP_000198.1	RB1	1574	NP_000312.2
KCNMB1	10358	NP_004128.1	MT-COI	2469	AAK17573.1
SUPV3L1	5493	NP_003162.2	ADAP1	9733	NP_006860.1
CTNNB1	286	NP_001895.1	CDK6	4533	NP_001250.1
PPP2CA	8912	NP_002706.1	TSC2	1850	NP_000539.2
PPP2CA	8912	NP_002706.1	RHOB	1321	NP_004031.1
PPP2CA	8912	NP_002706.1	RRAS	1299	NP_006261.1
COIL	2605	NP_004636.1	CEP76	12694	NP_079175.2
PPP2CA	8912	NP_002706.1	NME2	1132	NP_001018146.1
PSMD10	4594	NP_002805.1	MDM2	1272	NP_002383.2
PSMD10	4594	NP_002805.1	RB1	1574	NP_000312.2
WTIP	19007	NP_001073905.1	WT1	6163	NP_077744.3
WTIP	19007	NP_001073905.1	CD2AP	5026	NP_036252.1
CAND2	19120	NP_036430.1	UBE3C	15604	NP_055486.2
CAND2	19120	NP_036430.1	CNOT3	5368	NP_055331.1
CAND2	19120	NP_036430.1	TBP	2511	NP_003185.1
IGSF5	19125	NP_001073913.1	MAGI1	4020	NP_001028229.1
AFAP1	9747	NP_001128119.1	ACTC1	15	NP_005150.1
MAP1B	1139	NP_005900.2	ACTB	32	NP_001092.1
GTF2H2	3450	NP_001506.1	ERCC2	530	NP_000391.1
DNAJC2	19072	NP_055192.1	HSPA14	7021	NP_057383.2
-	19131	NP_001032891.1	SMAD2	3221	NP_005892.1
-	19131	NP_001032891.1	SMAD3	4380	NP_005893.1
CCDC88C	19136	NP_001073883.2	DVL1	3220	NP_004412.2
IGSF5	19125	NP_001073913.1	LNX1	17287	NP_001119800.1
CDK7	15993	NP_001790.1	ERCC2	530	NP_000391.1
DLGAP3	18935	NP_001073887.1	PTK2	2859	NP_005598.3
DLGAP3	18935	NP_001073887.1	PTK2B	3131	NP_004094.3
COIL	2605	NP_004636.1	CEP70	16779	NP_077817.2
DLGAP3	18935	NP_001073887.1	DLGAP1	9260	NP_004737.2
DLGAP3	18935	NP_001073887.1	DLG1	3007	NP_004078.2
DLGAP3	18935	NP_001073887.1	DLG3	2177	NP_066943.2
GRIP1	19086	NP_066973.2	EFNB1	2072	NP_004420.1
KSR1	18980	NP_055053.1	RAF1	1265	NP_002871.1
KSR1	18980	NP_055053.1	MAP2K1	1469	NP_002746.1
ZSWIM7	19095	NP_001036162.1	RAD51L3	4261	NP_001136043.1
DNMT1	532	NP_001124295.1	DNMT1	532	NP_001124295.1
CBLN3	19198	NP_001034860.1	CBLN1	2697	NP_004343.1
VPS37D	19106	NP_001071089.1	TSG101	3229	NP_006283.1
CBLN3	19198	NP_001034860.1	CBLN2	15970	NP_872317.1
CBLN3	19198	NP_001034860.1	CBLN4	16685	NP_542184.1
VPS37D	19106	NP_001071089.1	HGS	5085	NP_004703.1
VPS37D	19106	NP_001071089.1	VPS37D	19106	NP_001071089.1
WIPF3	18947	NP_001073998.1	VSTM2L	12735	NP_542174.1
NAA11	19248	NP_116082.1	NAA15	10471	NP_476516.1
NAA11	19248	NP_116082.1	HIF1A	4517	NP_001521.1
HMGB1	1228	NP_002119.1	DNMT1	532	NP_001124295.1
TAF4B	19270	NP_005631.1	RELA	1241	NP_068810.3
RELL1	19252	NP_001078868.1	OXSR1	6809	NP_005100.1
RELL1	19252	NP_001078868.1	RELT	15544	NP_116260.2
RELL1	19252	NP_001078868.1	RELL2	12830	NP_776189.3
SHC2	19296	NP_036567.2	NTRK3	1870	NP_001012338.1
PCNA	1456	NP_002583.1	DNMT1	532	NP_001124295.1
SHC2	19296	NP_036567.2	NTRK2	2712	NP_006171.2
SHC2	19296	NP_036567.2	NTRK1	1869	NP_002520.2
SHC2	19296	NP_036567.2	GRB2	150	NP_002077.1
UBXN2B	18973	NP_001071087.1	VCP	3013	NP_009057.1
ZWILCH	7640	NP_060445.3	KNTC1	9561	NP_055523.1
ZWILCH	7640	NP_060445.3	ZW10	4902	NP_004715.1
MAMSTR	8204	NP_001124387.1	MYOCD	9362	NP_705832.1
MAMSTR	8204	NP_001124387.1	MAMSTR	8204	NP_001124387.1
PIGY	17492	NP_116295.1	PIGA	2410	NP_002632.1
RB1	1574	NP_000312.2	DNMT1	532	NP_001124295.1
TRIAP1	13698	NP_057483.1	TP53	1859	NP_000537.3
C16orf53	14647	NP_078792.1	PAXIP1	8491	NP_031375.3
MKS1	7900	NP_060247.2	TMEM67	11324	NP_714915.3
SRFBP1	8685	NP_689759.2	SRF	2788	NP_003122.1
SUV39H1	2221	NP_003164.1	DNMT1	532	NP_001124295.1
-	13335	NP_060541.3	MAPT	1142	NP_001116538.1
SRFBP1	8685	NP_689759.2	SLC2A4	688	NP_001033.1
SCYL2	7642	NP_060458.3	GTF3A	2916	NP_002088.2
SCYL2	7642	NP_060458.3	CLTC	350	NP_004850.1
SMEK2	13854	NP_001116436.1	PPP4C	3615	NP_002711.1
CALCOCO1	13868	NP_065949.1	EP300	4078	NP_001420.2
CALCOCO1	13868	NP_065949.1	CREBBP	2534	NP_004371.2
CALCOCO1	13868	NP_065949.1	CTNNBL1	10850	NP_110517.2
CALCOCO1	13868	NP_065949.1	IPP	940	NP_005888.1
HDAC1	3143	NP_004955.2	DNMT1	532	NP_001124295.1
MARCH5	7909	NP_060294.1	MFN2	8495	NP_055689.1
MARCH5	7909	NP_060294.1	UTRN	547	NP_009055.2
RPS19BP1	14674	NP_919307.1	RPS19	4591	NP_001013.1
TAF1D	14679	NP_077021.1	POLB	7517	NP_002681.1
FANCI	13339	NP_001106849.1	FANCD2	1968	NP_149075.2
TSG101	3229	NP_006283.1	DNMT1	532	NP_001124295.1
RAVER2	11154	NP_060681.2	PTBP1	2823	NP_002810.1
ITPRIP	13892	NP_203755.1	ITPR1	925	Q14643
KIAA1949	11172	AAH66644.1	PPP1CA	15942	NP_001008709.1
C15orf41	13650	NP_001123482.1	ASF1B	16460	NP_060624.1
FAM125A	14298	NP_612410.1	CD2AP	5026	NP_036252.1
FAM125A	14298	NP_612410.1	SH3KBP1	2301	NP_114098.1
MAP2	1140	NP_114034.1	ACTB	32	NP_001092.1
DYNLL1	3334	NP_003737.1	DNMT1	532	NP_001124295.1
IFT80	13853	NP_065851.1	PLXNA2	3033	NP_079455.3
-	19326	NP_001078855.1	TFCP2	1790	NP_005644.2
KIAA1715	13886	NP_085153.1	CHMP1A	1237	NP_001076783.1
CPSF3L	13377	NP_060341.2	INTS9	7706	NP_060720.2
KAT2B	6780	NP_003875.3	-	19326	NP_001078855.1
-	19326	NP_001078855.1	HDAC1	3143	NP_004955.2
TCTEX1D4	15762	NP_001013654.1	ENG	565	NP_001108225.1
DNMT3A	4141	NP_072046.2	DNMT1	532	NP_001124295.1
TCTEX1D4	15762	NP_001013654.1	TGFBR2	1823	NP_001020018.1
TCTEX1D4	15762	NP_001013654.1	TGFBR3	2846	NP_003234.2
TCTEX1D4	15762	NP_001013654.1	ACVR2A	25	NP_001607.1
RNF168	8190	NP_689830.2	RABGEF1	11477	BAC87138.1
PIGX	7921	NP_060331.3	PIGM	15133	NP_660150.1
C13orf34	13389	NP_079084.2	AURKA	4066	NP_003591.2
SCLT1	8700	NP_653244.2	SCN10A	9188	NP_006505.2
RGS9BP	16991	NP_997274.2	RGS9	4962	O75916
DNMT3B	4209	NP_008823.1	DNMT1	532	NP_001124295.1
NEURL4	13894	NP_115818.2	DBNL	6588	NP_001116428.1
KIAA0513	17192	NP_055547.1	WWC1	10033	NP_056053.1
KIAA0513	17192	NP_055547.1	HAX1	12075	NP_006109.2
KIAA0513	17192	NP_055547.1	INTS4	12386	NP_291025.3
AFAP1L2	13902	NP_001001936.1	RASA1	745	NP_002881.1
AFAP1L2	13902	NP_001001936.1	SRC	1819	NP_005408.1
ARHGAP10	7949	NP_078881.3	PAK2	5428	NP_002568.2
ZNF689	14009	NP_612456.1	TRIM28	3445	NP_005753.1
ZNF689	14009	NP_612456.1	HNRNPU	4185	NP_114032.2
DAXX	4424	NP_001135442.1	DNMT1	532	NP_001124295.1
ZNF689	14009	NP_612456.1	HNRNPF	3023	NP_004957.1
ZNF689	14009	NP_612456.1	NCL	1245	NP_005372.2
SH3BP5L	13887	NP_085148.1	YWHAG	5639	NP_036611.2
SHE	17293	NP_001010846.1	ABL1	1809	NP_009297.2
SIKE1	7958	NP_001095866.1	TBK1	5322	NP_037386.1
SIKE1	7958	NP_001095866.1	IKBKE	5442	NP_054721.1
SIKE1	7958	NP_001095866.1	SIKE1	7958	NP_001095866.1
ERP27	8723	NP_689534.1	PDIA3	3625	NP_005304.3
CRIPAK	8753	NP_787114.2	PAK1	3995	AAC24716.1
COIL	2605	NP_004636.1	MAD1L1	4065	NP_003541.2
VPS53	7720	NP_001121631.1	VPS52	9142	NP_542131.1
-	18808	NP_001028687.1	C21orf45	10749	NP_061817.1
MYPOP	17352	NP_001012661.1	PFN1	1452	NP_005013.1
MYPOP	17352	NP_001012661.1	PFN2	1451	NP_444252.1
DOK7	8744	NP_775931.3	MUSK	3190	NP_005583.1
TRIAP1	13698	NP_057483.1	HSPA1A	774	NP_005336.3
TRIAP1	13698	NP_057483.1	APAF1	3755	NP_863651.1
SHF	14272	NP_612365.2	PDGFRA	1429	NP_006197.1
WDR16	14072	NP_659491.4	CCT4	5506	NP_006421.2
WDR16	14072	NP_659491.4	BRCA2	2554	NP_000050.2
CBX1	5149	NP_006798.1	DNMT1	532	NP_001124295.1
WDR16	14072	NP_659491.4	HSPA1A	774	NP_005336.3
C17orf70	7982	NP_001103230.1	FANCL	6997	NP_001108108.1
C17orf70	7982	NP_001103230.1	FANCB	6557	NP_689846.1
VPS26B	14395	NP_443107.1	VPS35	6085	NP_060676.2
INSC	18803	NP_001027024.3	GPSM2	6609	NP_037428.3
ATAD5	7792	NP_079133.3	RAD9A	4788	NP_004575.1
C19orf40	14547	NP_689479.1	FANCM	13876	NP_065988.1
ANKS4B	8794	NP_665872.2	USH1C	9241	NP_710142.1
VPS37B	7794	NP_078943.1	TSG101	3229	NP_006283.1
DMAP1	5465	NP_061973.1	DNMT1	532	NP_001124295.1
VPS37B	7794	NP_078943.1	VPS28	11675	NP_898880.1
CHID1	14550	NP_001136148.1	STAB1	9778	NP_055951.2
PHACTR4	7816	NP_076412.3	PPP1CA	15942	NP_001008709.1
PHACTR4	7816	NP_076412.3	ACTB	32	NP_001092.1
EID2B	8795	NP_689574.1	HDAC1	3143	NP_004955.2
EID2B	8795	NP_689574.1	EID2B	8795	NP_689574.1
EID2B	8795	NP_689574.1	EID2	16754	NP_694964.3
FIZ1	7870	NP_116225.2	NRL	8875	NP_006168.1
VAC14	7660	NP_060522.3	CNTN2	1826	NP_005067.1
HDAC2	5521	NP_001518.2	DNMT1	532	NP_001124295.1
SEC16A	11075	NP_055681.1	SEC23A	6714	NP_006355.2
TRMT61A	8810	NP_689520.2	TRMT6	13027	NP_057023.2
PARP15	8811	NP_001106995.1	PARP15	8811	NP_001106995.1
TBC1D10C	13330	NP_940919.1	PPP3R2	10164	NP_671709.1
HEXIM2	8129	NP_653209.1	CDK9	16016	NP_001252.1
HEXIM2	8129	NP_653209.1	CCNT1	3938	NP_001231.2
CCDC141	8257	NP_775919.2	DISC1	5553	NP_061132.2
COIL	2605	NP_004636.1	DHX16	4555	NP_003578.2
HSPB6	8130	NP_653218.1	YWHAG	5639	NP_036611.2
HSPB6	8130	NP_653218.1	HSPB8	6420	NP_055180.1
-	7902	NP_001093222.1	KIF5B	7214	NP_004512.1
TMEM48	8547	NP_060557.2	NUP93	14854	NP_055484.3
BHLHB9	10028	NP_085142.1	IPO5	3597	NP_002262.3
BHLHB9	10028	NP_085142.1	PPP2R5E	9040	NP_006237.1
SAP30L	8563	NP_078908.1	FEZ1	9212	NP_005094.1
KIAA0649	11099	NP_055626.3	UTP20	9928	NP_055318.2
ERCC4	594	NP_005227.1	ERCC1	533	NP_973730.1
TOR1AIP2	10048	NP_659471.1	TOR1A	6897	NP_000104.1
MICALCL	8610	NP_116256.2	RAB1B	11469	NP_112243.1
FAM175A	8584	NP_620775.2	BRCA1	218	NP_009231.2
MAPT	1142	NP_001116538.1	ACTB	32	NP_001092.1
XPA	2045	NP_000371.1	ERCC1	533	NP_973730.1
FAM175A	8584	NP_620775.2	UIMC1	11482	NP_057374.3
WIPI1	8540	NP_060453.3	AR	2437	NP_000035.2
WIPI1	8540	NP_060453.3	ESR1	589	NP_000116.2
CHD9	8570	NP_079410.4	PPARA	1369	NP_001001930.1
PCNA	1456	NP_002583.1	LIG1	534	NP_000225.1
CHD9	8570	NP_079410.4	NR3C1	679	NP_001019265.1
CHD9	8570	NP_079410.4	RXRA	1577	NP_002948.1
AURKB	5397	NP_004208.2	NSUN2	8620	NP_060225.4
CHD9	8570	NP_079410.4	NR1I3	4858	NP_001070950.1
CHD9	8570	NP_079410.4	ESR1	589	NP_000116.2
ORAI1	8599	NP_116179.2	TRPC3	15999	NP_001124170.1
ORAI1	8599	NP_116179.2	TRPC6	4710	NP_004612.2
RAX2	17508	NP_116142.1	CRX	3748	NP_000545.1
MRE11A	2889	NP_005582.1	LIG1	534	NP_000225.1
DUS2L	8624	NP_060273.1	EPRS	703	NP_004437.2
APPBP2	5616	NP_006371.2	AR	2437	NP_000035.2
FKBP4	11794	NP_002005.1	ATOX1	3779	NP_004036.1
MAST3	19403	NP_055831.1	PTEN	3431	NP_000305.3
FKBP2	1742	NP_004461.2	C1QC	395	NP_758957.2
CNTN4	16239	NP_783200.1	CNTN4	16239	NP_783200.1
TNFRSF12A	5801	NP_057723.1	TRAF5	3834	NP_004610.1
PDZK1	4829	NP_002605.2	SLC15A2	9088	NP_066568.3
NCL	1245	NP_005372.2	TOP1	535	NP_003277.1
PRC1	17899	NP_003972.1	RACGAP1	5402	NP_037409.2
PDZK1	4829	NP_002605.2	SLCO1A2	9112	NP_602307.1
TIFAB	19341	NP_001092691.1	TIFA	9835	NP_443096.1
PDZD3	6191	NP_079067.2	SLC22A4	9171	NP_003050.2
PDZD3	6191	NP_079067.2	SLC22A5	4539	NP_003051.1
PDZD3	6191	NP_079067.2	SLC22A9	6982	NP_543142.2
PDZD3	6191	NP_079067.2	SLCO1A2	9112	NP_602307.1
PDZD3	6191	NP_079067.2	SLCO3A1	7502	NP_037404.2
PDZD3	6191	NP_079067.2	SLCO1C1	8342	NP_059131.1
SLC9A3R1	5406	NP_004243.1	SLC22A4	9171	NP_003050.2
TP53	1859	NP_000537.3	TOP1	535	NP_003277.1
SLC9A3R1	5406	NP_004243.1	SLC22A5	4539	NP_003051.1
SLC9A3R1	5406	NP_004243.1	SLC22A9	6982	NP_543142.2
AIP	10408	NP_003968.2	PDE4A	2527	NP_001104777.1
SLC9A3R1	5406	NP_004243.1	SLCO1A2	9112	NP_602307.1
SLC9A3R2	5946	NP_001123484.1	SLC22A4	9171	NP_003050.2
SLC9A3R2	5946	NP_001123484.1	SLC22A5	4539	NP_003051.1
SLC9A3R2	5946	NP_001123484.1	SLC22A9	6982	NP_543142.2
SLC9A3R2	5946	NP_001123484.1	SLCO1A2	9112	NP_602307.1
S100A9	472	NP_002956.1	S100A8	471	NP_002955.2
ANK3	2715	NP_066267.2	FAS	609	NP_000034.1
CASP3	2799	NP_004337.2	TOP1	535	NP_003277.1
RAD51AP2	19372	NP_001092688.1	RAD51	1557	NP_597994.3
OPRM1	2484	NP_001138751.1	PPL	4187	NP_002696.3
BEX2	6484	NP_116010.1	LMO2	1586	NP_005565.2
PGR	7077	NP_000917.3	JDP2	16360	NP_001128521.1
BHLHE40	16050	NP_003661.1	BHLHE41	16204	NP_110389.1
PGR	7077	NP_000917.3	SRC	1819	NP_005408.1
IL13RA1	2125	NP_001551.1	TRAF3IP1	9571	NP_056465.2
GEM	11553	NP_005252.1	YWHAB	3184	NP_003395.1
SFRS1	2887	NP_008855.1	TOP1	535	NP_003277.1
PGR	7077	NP_000917.3	BATF3	18081	NP_061134.1
NGFRAP1	2291	NP_055195.1	TRAF1	3418	NP_005649.1
NAPG	4448	NP_003817.1	RAB11FIP5	16117	NP_056285.1
PGR	7077	NP_000917.3	APEX2	6442	NP_055296.2
NGFRAP1	2291	NP_055195.1	TRAF2	3538	NP_066961.2
NGFRAP1	2291	NP_055195.1	TRAF3	3539	NP_663777.1
NGFRAP1	2291	NP_055195.1	TRAF4	3915	NP_004286.2
NGFRAP1	2291	NP_055195.1	TRAF5	3834	NP_004610.1
NGFRAP1	2291	NP_055195.1	TRAF6	3833	NP_665802.1
CASP6	3321	NP_001217.2	TOP1	535	NP_003277.1
PGR	7077	NP_000917.3	SORBS1	5587	NP_001030126.1
PPARG	3288	NP_056953.2	FOXO1	645	NP_002006.2
BPTF	3490	NP_872579.2	KEAP1	12079	NP_036421.2
TAF3	19377	NP_114129.1	TAF10	15972	NP_006275.1
PRKCI	2105	NP_002731.4	RAB2A	1539	NP_002856.1
NGFRAP1	2291	NP_055195.1	VTA1	9855	NP_057569.2
LDLRAP1	5765	NP_056442.2	APP	100	NP_000475.1
CD44	115	NP_000601.3	GARS	2617	AAH00065.1
SUMO1	3554	NP_003343.1	TOP1	535	NP_003277.1
MICAL3	19352	NP_056056.1	RAB1B	11469	NP_112243.1
ELF4	6499	NP_001412.1	PML	23	NP_150241.2
NCKIPSD	9450	NP_057537.1	MAPK3	3479	NP_002737.2
SFRS11	3599	NP_004759.1	TOP1	535	NP_003277.1
NCOR2	2910	NP_006303.3	RARG	1573	NP_000957.1
TSHR	4537	NP_000360.2	RABAC1	5375	NP_006414.2
TRPC1	11894	NP_003295.1	MDFI	7280	NP_005577.1
RAPGEF3	6928	NP_001092001.1	MAP1A	2549	NP_002364.5
RAPGEF4	6929	NP_008954.2	MAP1A	2549	NP_002364.5
EHD1	9325	NP_006786.2	ZFYVE20	15732	NP_071735.2
PTN	1199	NP_002816.1	ACTB	32	NP_001092.1
NCOA6	5599	NP_054790.2	TOP1	535	NP_003277.1
PIAS4	6910	NP_056981.2	SMAD2	3221	NP_005892.1
PIAS4	6910	NP_056981.2	SMAD3	4380	NP_005893.1
PIAS4	6910	NP_056981.2	SMAD4	2995	NP_005350.1
IRF8	3336	NP_002154.1	ZBTB17	4968	NP_003434.2
PACSIN2	5390	NP_009160.2	WASL	5448	NP_003932.3
BCL2L11	4828	NP_619527.1	MEX3D	15254	NP_976049.3
CCND3	452	NP_001751.1	ATF5	5906	NP_036200.2
TDP1	6226	NP_060789.2	TOP1	535	NP_003277.1
PIAS4	6910	NP_056981.2	HDAC1	3143	NP_004955.2
GATA6	9043	NP_005248.2	HHEX	6829	NP_002720.1
GATA2	673	NP_116027.2	HHEX	6829	NP_002720.1
SERPINB2	1420	NP_002566.1	PRPF8	6295	NP_006436.3
KCNK3	4451	NP_002237.1	YWHAQ	886	NP_006817.1
KCNK3	4451	NP_002237.1	YWHAE	5457	NP_006752.1
KCNK3	4451	NP_002237.1	YWHAH	215	NP_003396.1
KCNK3	4451	NP_002237.1	YWHAG	5639	NP_036611.2
KCNK3	4451	NP_002237.1	SFN	3185	NP_006133.1
SPHK1	4768	NP_892010.2	CTNND2	9181	NP_001323.1
SFPQ	7284	NP_005057.1	TOP1	535	NP_003277.1
GATA3	572	NP_001002295.1	ZFPM2	4737	NP_036214.2
KCNK9	16167	NP_057685.1	SFN	3185	NP_006133.1
KCNK9	16167	NP_057685.1	YWHAQ	886	NP_006817.1
KCNK9	16167	NP_057685.1	YWHAZ	3183	NP_003397.1
KCNK9	16167	NP_057685.1	YWHAB	3184	NP_003395.1
KCNK9	16167	NP_057685.1	YWHAE	5457	NP_006752.1
KCNK9	16167	NP_057685.1	YWHAH	215	NP_003396.1
KCNK9	16167	NP_057685.1	YWHAG	5639	NP_036611.2
KCNK15	9564	NP_071753.1	YWHAG	5639	NP_036611.2
UBE2I	9045	NP_003336.1	TOP1	535	NP_003277.1
KCNK15	9564	NP_071753.1	YWHAH	215	NP_003396.1
KCNK15	9564	NP_071753.1	YWHAE	5457	NP_006752.1
KCNK15	9564	NP_071753.1	YWHAB	3184	NP_003395.1
KCNK15	9564	NP_071753.1	YWHAZ	3183	NP_003397.1
KCNK15	9564	NP_071753.1	YWHAQ	886	NP_006817.1
KCNK15	9564	NP_071753.1	SFN	3185	NP_006133.1
